,Total,Destroyed,Damaged,Abandoned,Captured
Ukraine,540,206,16,37,281
Tanks,77,26,0,9,40
Armoured Fighting Vehicles,61,22,0,4,36
Infantry Fighting Vehicles,58,25,2,9,22
Armoured Personnel Carriers,27,5,0,2,19
Infantry Mobility Vehicles,29,7,1,1,20
Engineering Vehicles,1,0,0,0,1
Antitank Guided Missiles,50,0,0,0,50
ManPortable Air Defence Systems,16,0,0,0,16
Towed Artillery,21,4,3,3,11
SelfPropelled Artillery,13,6,1,1,5
Multiple Rocket Launchers,6,1,0,0,5
AntiAircraft Guns,2,0,0,0,2
SelfPropelled AntiAircraft Guns,1,0,0,0,1
SurfaceToAir Missile Systems,19,14,0,2,3
Radars,10,6,3,0,1
Aircraft,12,11,1,0,0
Helicopters,1,1,0,0,0
Unmanned Aerial Vehicles,9,7,0,0,2
Naval Ships,13,2,0,0,11
Trucks Vehicles and Jeeps,180,61,5,5,109
